Name,Sport,Position,Last Year Active,Most Known Team
Isa Abdul-Quddus,Football,Safety,Retired (2019),Miami Dolphins
Victor Abiamiri,Football,Defensive End,Retired (2013),Philadelphia Eagles
Camee Adams,MMA,Fighter,Active,—
Myles Adams,Football,Defensive Tackle,Active,Detroit Lions
Tony Adams,Football,Safety,Active,New York Jets
McTelvin Agim,Football,Defensive Tackle,Retired (2022),Chicago Bears
Salvon Ahmed,Football,Running Back,Retired (2023),Miami Dolphins
Christopher Allen,Football,Linebacker,Active (UFL),Houston Gamblers
Devon Allen,Track & Field / Football,110m Hurdles / WR,Active,Philadelphia Eagles
James Anderson,Football,Linebacker,Retired (2015),Carolina Panthers
Rory (Busta) Anderson II,Football,Tight End,Active,New Orleans Saints
Joshua Andrews,Football,Offensive Lineman,—,—
Ted Andrews,Baseball,Pitcher,—,—
Terron Armstead,Football,Offensive Tackle,Active,Miami Dolphins
Kam Arnold,Football,Cornerback,Active,New York Giants
Cj Avery,Football,Linebacker,Active (CFL),CFL
Jeffrey Ayres,Basketball,Center / Forward,Retired (2019),Sacramento Kings
Alex Bachman,Football,Wide Receiver,Active,—
Markus Bailey,Football,Linebacker,Retired (2022),Cincinnati Bengals
Jake Bargas,Football,Tight End,Retired (2023),Minnesota Vikings
Krys Barnes,Football,Linebacker,Retired (2022),Green Bay Packers
Samuel Barrington,Football,Linebacker,Retired (2019),Tampa Bay Buccaneers
Anja Barugh,Rowing,Rower,Active,New Zealand
Essang Bassey,Football,Cornerback,Retired (2022),Denver Broncos
ROGERS beckett,Football,Safety,Retired (2004),San Diego Chargers
BJ Bello,Football,Linebacker,Retired (2023),Los Angeles Chargers
Alexis Belton,Golf,LPGA Tour,Active,LPGA Tour
Kimberly Bennett,Basketball,Forward,Active (FIBA),—
Drew Bledsoe,Football,Quarterback,Retired (2007),New England Patriots
Evan Blum,Baseball,Pitcher,Active,Pioneer League
Chris Board,Football,Linebacker,Retired (2023),Detroit Lions
Ethan Bonner,Football,Cornerback,Active,Miami Dolphins
Tre Boston,Football,Safety,Retired (2023),Carolina Panthers
Kristófer Bow,Baseball,—,Active,Pioneer League
Malik Boynton,Football,Cornerback / DB,Active (Indoor/CFL),CFL
Beau Brade,Football,—,—,—
Ben Brecht,Baseball,Pitcher,Active,—
Aaron Brewer,Football,Center,Active,Tennessee Titans
Dan Brisse,Snowboarding,Slopestyle / Big Air,Retired (2016),Team USA (X Games)
Ryan Broussard,Baseball,Outfield,Active (MiLB),—
Derrick Brown,Basketball,Forward,Active,—
Spencer Brown,Football,Offensive Tackle,Active,Buffalo Bills
Jake Browning,Football,Quarterback,Active,Cincinnati Bengals
Brandin Bryant,Football,Defensive Tackle,Retired (2023),Buffalo Bills
Antwon Burton,Football,Defensive Tackle,Retired (2009),Denver Broncos
Jermon Bushrod,Football,Offensive Tackle,Retired (2017),New Orleans Saints
Adam Butler,Football,Defensive Tackle,Retired (2024),Philadelphia Eagles
Elijah Campbell,Football,Cornerback,—,—
Ryan Carrethers,Football,Defensive Tackle,Retired (2023),Las Vegas Raiders
Kevin Chappell,Golf,PGA Tour,Active,PGA Tour
Deja Church,Basketball,Guard,Active,Greece (A1 League)
Jordan Colbert,Football,Safety,Active,Miami Dolphins
SOUL COLE,Football,—,—,—
Amari Coleman,Football,Cornerback,Retired (2018),Tampa Bay Buccaneers
Aaron Crawford,Football,Defensive Tackle,Retired (2022),Baltimore Ravens
Tyrell Crosby,Football,Offensive Tackle,Retired (2022),Detroit Lions
Dalton Crossan,Football,Running Back,Retired (2019),Indianapolis Colts
Lloyd Cushenberry,Football,Center,Active,Denver Broncos
Carl Davis,Football,Defensive Tackle,Retired (2020),Baltimore Ravens
Don Davis,Football,Linebacker,Retired (2007),New England Patriots
GEREMY DAVIS,Football,Wide Receiver,Retired (2019),New York Giants
Jesse Davis,Football,Offensive Guard,Retired (2022),Miami Dolphins
Jamel Dean,Football,Cornerback,Active,Tampa Bay Buccaneers
Jason Demers,Hockey,Defenseman,Retired (2019),Florida Panthers
Jayson Dimanche,Football,Linebacker,Retired (2015),San Francisco 49ers
Jamil Douglas,Football,Offensive Guard,Retired (2022),Arizona Cardinals
Roderick Dudley,Football,Tight End,—,—
Terrell Edmunds,Football,Safety,Retired (2023),Pittsburgh Steelers
Patrice Evra,Soccer,Left Back,Retired (2019),Manchester United
Joshua Ezeudu,Football,Offensive Guard,Active,New York Giants
Kenneth Farrow,Football,Running Back,Retired (2021),Houston Texans
John Flowers,Basketball,Forward,Retired,—
Thomas Foley,Horse Racing,Jockey,Active,—
Bryce Ford-Wheaton,Football,Wide Receiver,Active,New York Giants
Justin Forsett,Football,Running Back,Retired (2017),Baltimore Ravens
JOHN FRANKLIN III,Football,Wide Receiver,Retired (2020),Tampa Bay Buccaneers
Amari Gainer,Football,Linebacker,Active,—
EJ Gaines,Football,Cornerback,Retired (2018),Buffalo Bills
Ben Garland,Football,Center / Guard,Retired (2022),Atlanta Falcons
Myles Gaskin,Football,Running Back,Retired (2023),Miami Dolphins
Jason Geis,Baseball,—,Active (MiLB),—
Jennifer George,Basketball,Forward,Active (WNBA),Washington Mystics
NATHAN GERRY,Football,Linebacker,Retired (2021),Philadelphia Eagles
Davon Godchaux,Football,Defensive Tackle,Active,New England Patriots
Bryan Goelz,Baseball,Outfield,Active,—
Malik Golden,Football,Safety,—,—
Parker Graham,Football,Wide Receiver,—,—
Thomas Graham,Football,Cornerback,Active,—
Arther Green,Football,Running Back,—,—
Justin Grube,Football,Tight End,Active (AFL),AFL
Rashede Hageman,Football,Defensive Tackle,Retired (2020),Atlanta Falcons
Larry Hall,Basketball,Forward,—,—
Jonathan Harris,Football,Defensive Tackle,Active,Dallas Cowboys
JaMycal Hasty,Football,Running Back,Retired (2023),Jacksonville Jaguars
Kristen Hayden,Track & Field,Sprints,Active,Team USA
Jeremiah Hendy,Football,Defensive End,Active,Las Vegas Raiders
Khalil Herbert,Football,Running Back,Active,Chicago Bears
Javontee Herndon,Football,Wide Receiver,Retired (2020),Los Angeles Chargers
Elijah Higgins,Football,Tight End,Active,Arizona Cardinals
PJ Hill,Basketball,Guard,Active (FIBA),—
Tony Hills,Football,Offensive Tackle,—,—
Nyheim Hines,Football,Running Back,Active,Indianapolis Colts
Isaiah Hodgins,Football,Wide Receiver,Active,New York Giants
Jevon Holland,Football,Safety,Active,Miami Dolphins
Xavien Howard,Football,Cornerback,Active,Miami Dolphins
Brett Hundley,Football,Quarterback,Retired (2019),Green Bay Packers
Julian Infante,Baseball,—,—,—
Daniel Isidora,Football,Wide Receiver,—,—
Kyle Israel,Football,Offensive Lineman,—,—
Dallas Jaye,Soccer,Goalkeeper,Active,NWSL
Jeremiah Jean-baptiste,Football,Defensive End,Active,Jacksonville Jaguars
Michael Jenkins,Basketball,Guard / Forward,Retired (2014),Atlanta Hawks
cornelius johnson,Football,Wide Receiver,Active,—
Edgar Jones,Football,Tight End,—,—
Rashad Jones-Jennings,Basketball,Center,Active (FIBA),—
Greg Joseph,Football,Kicker,Active,Minnesota Vikings
Bronson Kaufusi,Football,Defensive End,Retired (2022),New York Jets
Jermaine Kelly,Football,Wide Receiver,Active,Pittsburgh Steelers
Daniel Lasco,Football,Running Back,Retired (2018),New Orleans Saints
Martin Lattibeaudiere,Basketball,Center,Active,—
Wes Letson,Baseball,—,Active (MiLB),—
Kaiwan Lewis,Football,Linebacker,Active (CFL/NFL),—
Will Mallory,Football,Tight End,Active,Denver Broncos
Cameron Malveaux,Football,Defensive End,Retired (2022),Miami Dolphins
Harry Marino,Baseball,Pitcher,Active (MiLB),—
Laurence Maroney,Football,Running Back,Retired (2012),New England Patriots
Keyon Martin,Football,Cornerback,Active,Baltimore Ravens
Koda Martin,Football,Offensive Guard,Retired (2022),Arizona Cardinals
Devin McCourty,Football,Safety,Retired (2022),New England Patriots
Ray Mcelroy,Football,Safety,Retired (2002),Chicago Bears
Zech McPhearson,Football,Cornerback,Active,Las Vegas Raiders
Whitney Mercilus,Football,Defensive End / OLB,Retired (2022),Houston Texans
Joshua Miles,Football,Offensive Tackle,Active,—
Brandon Miller,Soccer,Midfielder,Active (USL),USL
Mitch Miller,Baseball,Shortstop,Retired (2022),Arizona Diamondbacks
Pamela Minix,Mountain Biking,—,Active,NORBA
Earl Mitchell,Football,Defensive Tackle,Retired (2019),San Francisco 49ers
Jake Mitchell,Cycling,Road Cycling,Active,Team USA
Ty Montgomery,Football,Running Back / WR,Retired (2022),Green Bay Packers
Marcus Moore,Football,Defensive Back,Active (CFL),CFL
David Morgan,Football,Tight End,Retired (2021),—
Anthony Morrow,Basketball,Shooting Guard,Retired (2018),New Orleans Pelicans
Joe Mortensen,Football,Linebacker / Fullback,Retired (2015),LA KISS (AFL)
Tendai Mtawarira,Rugby,Prop,Retired (2019),South Africa (Springboks)
Cory Murphy,Football,Wide Receiver,Active (IFL),IFL
Eric Murray,Football,Safety,Retired (2022),Houston Texans
Tyler Nubin,Football,Safety,Active,New York Giants
OG Nwagbuo,Football,Defensive Tackle,Active,Carolina Panthers
